1, 2, 3, 4, 5, 6, 7
8, 9, 1, 2, 3, 4, 5
6, 7, 8, 9, 1, 2, 3
4, 5, 6, 7, 8, 9, 1
2, 3, 4, 5, 6, 7, 8
9, 1, 2, 3, 4, 5, 6
7, 8, 9, 1, 2, 3, 4

*

1, 2, 3, 4, 5, 6, 7
8, 9, 1, 2, 3, 4, 5
6, 7, 8, 9, 1, 2, 3
4, 5, 6, 7, 8, 9, 1
2, 3, 4, 5, 6, 7, 8
9, 1, 2, 3, 4, 5, 6
7, 8, 9, 1, 2, 3, 4

=

164, 138, 148, 113, 114, 142, 134
171, 167, 118, 105, 128, 160, 174
187, 205, 178, 187, 151, 187, 142
212, 171, 166, 197, 183, 223, 200
201, 173, 181, 144, 143, 178, 168
136, 121, 142, 118, 130, 160, 163
188, 195, 157, 155, 108, 142, 167
